participant_id,age,gender,occupation,language,narrative
54,51,Male,student,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
54,51,Male,student,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
55,65,Male,nurse,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
55,65,Male,nurse,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
55,65,Male,nurse,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
56,21,Female,artist,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
56,21,Female,artist,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
56,21,Female,artist,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
57,34,Male,driver,English,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
57,34,Male,driver,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
57,34,Male,driver,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
58,43,Male,writer,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
58,43,Male,writer,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
58,43,Male,writer,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
59,27,Male,artist,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
59,27,Male,artist,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
59,27,Male,artist,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
60,62,Female,student,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
60,62,Female,student,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
60,62,Female,student,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
61,23,Male,engineer,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
61,23,Male,engineer,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
61,23,Male,engineer,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
62,19,Male,teacher,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
62,19,Male,teacher,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
62,19,Male,teacher,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
63,40,Female,teacher,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
63,40,Female,teacher,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
63,40,Female,teacher,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
64,29,Male,writer,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
64,29,Male,writer,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
64,29,Male,writer,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
65,31,Non-binary,artist,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
65,31,Non-binary,artist,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
65,31,Non-binary,artist,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
66,52,Female,shop worker,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
66,52,Female,shop worker,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
66,52,Female,shop worker,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
67,27,Non-binary,driver,English,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
67,27,Non-binary,driver,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
67,27,Non-binary,driver,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
68,24,Female,nurse,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
68,24,Female,nurse,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
68,24,Female,nurse,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
69,63,Non-binary,student,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
69,63,Non-binary,student,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
69,63,Non-binary,student,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
70,28,Female,driver,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
70,28,Female,driver,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
70,28,Female,driver,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
71,59,Non-binary,analyst,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
71,59,Non-binary,analyst,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
71,59,Non-binary,analyst,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
72,53,Non-binary,student,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
72,53,Non-binary,student,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
72,53,Non-binary,student,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
73,38,Male,driver,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
73,38,Male,driver,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
73,38,Male,driver,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
74,61,Male,analyst,English,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
74,61,Male,analyst,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
74,61,Male,analyst,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
75,50,Female,writer,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
75,50,Female,writer,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
75,50,Female,writer,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
76,60,Non-binary,teacher,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
76,60,Non-binary,teacher,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
76,60,Non-binary,teacher,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
77,41,Non-binary,engineer,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
77,41,Non-binary,engineer,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
77,41,Non-binary,engineer,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
78,21,Male,engineer,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
78,21,Male,engineer,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
78,21,Male,engineer,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
79,32,Male,shop worker,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
79,32,Male,shop worker,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
79,32,Male,shop worker,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
80,56,Non-binary,writer,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
80,56,Non-binary,writer,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
80,56,Non-binary,writer,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
81,29,Male,artist,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
81,29,Male,artist,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
81,29,Male,artist,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
82,43,Female,artist,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
82,43,Female,artist,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
82,43,Female,artist,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
83,54,Female,engineer,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
83,54,Female,engineer,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
83,54,Female,engineer,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
84,37,Female,administrator,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
84,37,Female,administrator,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
84,37,Female,administrator,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
85,41,Female,artist,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
85,41,Female,artist,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
85,41,Female,artist,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
86,57,Female,engineer,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
86,57,Female,engineer,Spanish,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
86,57,Female,engineer,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
87,45,Male,nurse,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
87,45,Male,nurse,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
87,45,Male,nurse,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
88,47,Female,driver,English,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
88,47,Female,driver,Spanish,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
88,47,Female,driver,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
89,60,Non-binary,writer,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
89,60,Non-binary,writer,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
89,60,Non-binary,writer,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
90,34,Non-binary,driver,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
90,34,Non-binary,driver,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
90,34,Non-binary,driver,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
91,65,Female,driver,English,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
91,65,Female,driver,Spanish,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
91,65,Female,driver,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
92,59,Non-binary,administrator,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
92,59,Non-binary,administrator,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
92,59,Non-binary,administrator,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
93,23,Non-binary,administrator,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
93,23,Non-binary,administrator,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
93,23,Non-binary,administrator,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
94,55,Female,administrator,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
94,55,Female,administrator,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
94,55,Female,administrator,Hindi,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
95,61,Female,administrator,English,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
95,61,Female,administrator,Spanish,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
95,61,Female,administrator,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
96,45,Non-binary,student,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
96,45,Non-binary,student,Spanish,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
96,45,Non-binary,student,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
97,56,Male,nurse,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
97,56,Male,nurse,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
97,56,Male,nurse,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
98,29,Female,engineer,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
98,29,Female,engineer,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
98,29,Female,engineer,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
99,35,Female,artist,English,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
99,35,Female,artist,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
99,35,Female,artist,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
100,47,Male,student,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
100,47,Male,student,Spanish,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
100,47,Male,student,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
